"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.0829,0.073,0.0856,0.0333,0.0366,0.1015,0.081,0.1003,0.0789,0.0479,0.0379,0.0947,0.0746,0.0462,0.0369,0.0481,0.0374,0.097,0.0746,0.0436,0.0422,0.055,0.044,0.078,0.0767,0.078,0.0547,0.0438,0.0566,0.043,0.0437,0.0418,0.0502,0.0646,0.0667
2,0.13,0.1072,0.1257,0.0399,0.0405,0.141,0.1234,0.1372,0.1225,0.0459,0.0413,0.1373,0.1205,0.046,0.0411,0.0482,0.0443,0.1442,0.1262,0.0478,0.0455,0.0516,0.0488,0.1425,0.1389,0.121,0.0678,0.0457,0.0669,0.0453,0.0464,0.0521,0.0698,0.0885,0.0955
3,0.1792,0.1449,0.176,0.0414,0.0386,0.1845,0.1769,0.1843,0.1745,0.0398,0.04,0.1811,0.1722,0.0401,0.041,0.0459,0.0462,0.1931,0.1841,0.0432,0.0431,0.0485,0.0507,0.201,0.2157,0.1528,0.0774,0.0395,0.0757,0.0392,0.0475,0.0495,0.0806,0.1101,0.1267
4,0.2403,0.1881,0.2423,0.0409,0.043,0.2435,0.2395,0.2419,0.2397,0.0453,0.0506,0.242,0.2379,0.0457,0.0509,0.0454,0.0404,0.2556,0.2505,0.048,0.0554,0.0508,0.0439,0.2698,0.2738,0.187,0.0849,0.0438,0.0837,0.0435,0.0469,0.0536,0.0987,0.1387,0.1549
5,0.285,0.2066,0.2858,0.0387,0.0388,0.2882,0.2841,0.2879,0.2848,0.0428,0.0382,0.2861,0.2812,0.0433,0.0389,0.0405,0.0395,0.3041,0.2991,0.0471,0.042,0.0458,0.0457,0.3372,0.3197,0.2281,0.099,0.0434,0.0947,0.0434,0.0461,0.053,0.118,0.1637,0.1849
6,0.3376,0.2651,0.3476,0.0438,0.0446,0.3415,0.3445,0.3396,0.3449,0.0425,0.0425,0.3386,0.344,0.0428,0.0433,0.0456,0.0427,0.3609,0.3617,0.045,0.046,0.0509,0.0469,0.3945,0.3894,0.2588,0.1092,0.0435,0.1028,0.0432,0.0467,0.0553,0.1298,0.1819,0.2115
7,0.3972,0.3085,0.386,0.0446,0.0422,0.3998,0.3875,0.3985,0.3882,0.0419,0.0386,0.398,0.3878,0.0421,0.0393,0.0442,0.0412,0.4162,0.4029,0.0448,0.0414,0.0485,0.0453,0.4509,0.4353,0.2948,0.1219,0.0444,0.1141,0.0438,0.0445,0.0526,0.1404,0.2056,0.2388
8,0.4494,0.3567,0.4516,0.0414,0.0426,0.4528,0.4591,0.4516,0.4582,0.0391,0.0348,0.4508,0.4519,0.0392,0.0342,0.0439,0.0421,0.4728,0.4749,0.0445,0.0373,0.0489,0.0453,0.5157,0.5193,0.3335,0.131,0.0433,0.1269,0.0434,0.044,0.0525,0.1528,0.2306,0.2685
9,0.5074,0.4085,0.4951,0.0401,0.0398,0.5064,0.4989,0.5058,0.4968,0.0414,0.0403,0.5052,0.4975,0.0414,0.0404,0.0414,0.0382,0.5249,0.5173,0.0451,0.0441,0.0459,0.042,0.5635,0.5738,0.372,0.1406,0.0442,0.1318,0.0442,0.0437,0.0546,0.171,0.2554,0.3
10,0.5601,0.4337,0.5336,0.0417,0.0405,0.5627,0.5351,0.5621,0.5362,0.0364,0.0368,0.5622,0.535,0.0359,0.0369,0.042,0.043,0.5807,0.5574,0.0409,0.0414,0.0463,0.048,0.6157,0.6177,0.4017,0.1506,0.0419,0.1423,0.0419,0.0439,0.0587,0.1893,0.2832,0.3319
