"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.0864,0.0691,0.087,0.0249,0.0274,0.1112,0.0942,0.1121,0.0954,0.0404,0.0334,0.1068,0.0904,0.0373,0.0301,0.0354,0.0296,0.1153,0.0955,0.0382,0.0378,0.0522,0.0424,0.2101,0.2215,0.0333,0.0329,0.0298,0.0261,0.0295,0.0297,0.0689,0.1029,0.1577,0.179
2,0.1805,0.1335,0.1884,0.0266,0.0244,0.1952,0.1897,0.1936,0.1916,0.0367,0.0336,0.1923,0.1917,0.0359,0.0333,0.0292,0.029,0.2096,0.2049,0.0417,0.0386,0.0413,0.0393,0.5033,0.4932,0.0302,0.0327,0.033,0.0279,0.0318,0.0288,0.1492,0.194,0.293,0.3528
3,0.2714,0.1944,0.2655,0.03,0.0252,0.2879,0.2741,0.287,0.2696,0.0315,0.0273,0.2833,0.2705,0.0307,0.0277,0.0305,0.0287,0.306,0.2943,0.0399,0.0365,0.0416,0.0397,0.6928,0.7031,0.0311,0.0313,0.0337,0.0303,0.0333,0.0319,0.212,0.2788,0.4148,0.4916
4,0.3604,0.2611,0.3421,0.03,0.0282,0.3785,0.3574,0.3775,0.3576,0.0313,0.0298,0.3772,0.357,0.0311,0.0291,0.0306,0.0272,0.3986,0.376,0.0403,0.0372,0.0434,0.0388,0.8327,0.8294,0.03,0.0299,0.0313,0.0299,0.0307,0.0313,0.2785,0.3574,0.5238,0.6144
5,0.4543,0.3572,0.4563,0.0293,0.0257,0.4748,0.4746,0.4736,0.4747,0.0319,0.0316,0.4719,0.4696,0.0323,0.0317,0.029,0.0268,0.4946,0.4933,0.0455,0.0436,0.0462,0.0418,0.9131,0.9171,0.0325,0.0342,0.0335,0.0308,0.0329,0.0334,0.3488,0.44,0.6325,0.7185
6,0.5406,0.4249,0.5467,0.0321,0.027,0.5642,0.5636,0.5632,0.5635,0.0329,0.0322,0.5614,0.5589,0.0328,0.0321,0.0315,0.0285,0.5808,0.5797,0.0423,0.041,0.0462,0.0432,0.9554,0.9562,0.031,0.0303,0.0311,0.0302,0.0308,0.0313,0.4013,0.5088,0.7085,0.7912
7,0.6229,0.4976,0.6241,0.0308,0.0271,0.6412,0.6338,0.6395,0.6337,0.0286,0.0288,0.6389,0.6313,0.0285,0.028,0.0303,0.028,0.6544,0.6501,0.0406,0.0409,0.0438,0.0419,0.9774,0.9777,0.0335,0.0344,0.0318,0.0329,0.0319,0.0318,0.4585,0.5688,0.7756,0.8526
8,0.6923,0.5717,0.685,0.0311,0.0274,0.7089,0.6997,0.7079,0.6985,0.0315,0.0279,0.7082,0.6987,0.0312,0.0274,0.0292,0.0283,0.7216,0.714,0.041,0.0372,0.043,0.042,0.9898,0.9895,0.0308,0.0325,0.0301,0.0277,0.0301,0.0321,0.502,0.6262,0.8274,0.8958
9,0.7443,0.6392,0.7323,0.0303,0.028,0.7586,0.7513,0.7579,0.7515,0.0346,0.0324,0.7581,0.7488,0.0339,0.032,0.0305,0.0299,0.7698,0.7605,0.0446,0.0423,0.0461,0.0453,0.9961,0.9957,0.0301,0.0352,0.0355,0.0339,0.0354,0.0327,0.5596,0.6868,0.8739,0.9311
10,0.8015,0.6994,0.7956,0.0299,0.0256,0.815,0.8175,0.8135,0.8171,0.0307,0.0293,0.8136,0.8173,0.031,0.0287,0.0298,0.0286,0.8249,0.8293,0.0447,0.0411,0.0426,0.0425,0.9973,0.9973,0.03,0.0336,0.0346,0.0314,0.0344,0.0324,0.6118,0.724,0.9056,0.9487
