"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.297,0.2207,0.2883,0.0334,0.0372,0.3247,0.2807,0.3196,0.2748,0.0476,0.0416,0.3026,0.2673,0.0453,0.0418,0.0423,0.0318,0.2964,0.2586,0.0482,0.0535,0.0558,0.0449,0.1109,0.1187,0.2418,0.1039,0.035,0.0841,0.0347,0.0283,0.0495,0.0335,0.034,0.0344
2,0.5832,0.4412,0.5824,0.0398,0.0383,0.5891,0.5714,0.5845,0.5674,0.0464,0.0435,0.5819,0.5636,0.0467,0.0435,0.0436,0.0403,0.5869,0.5723,0.0499,0.0486,0.0519,0.0477,0.2484,0.2424,0.4345,0.1697,0.0384,0.1482,0.0374,0.0332,0.0975,0.0389,0.0377,0.0394
3,0.7866,0.6807,0.799,0.038,0.0364,0.7907,0.7898,0.7891,0.7885,0.043,0.0397,0.7877,0.7855,0.0431,0.0415,0.0413,0.0407,0.7905,0.7904,0.0491,0.0473,0.0485,0.0485,0.3645,0.365,0.6044,0.2343,0.0393,0.2118,0.0388,0.0346,0.1381,0.0416,0.0407,0.0429
4,0.8954,0.818,0.9005,0.0399,0.0402,0.8984,0.8995,0.899,0.8998,0.0434,0.0419,0.8976,0.898,0.0443,0.0413,0.0423,0.0417,0.8997,0.9002,0.0491,0.046,0.05,0.0493,0.4523,0.4472,0.7299,0.2976,0.0406,0.2647,0.0399,0.0393,0.1784,0.0398,0.0389,0.0409
5,0.9525,0.8979,0.9511,0.0421,0.039,0.9569,0.9519,0.9561,0.9525,0.0452,0.0418,0.9564,0.9516,0.0447,0.0411,0.0439,0.0431,0.9573,0.9515,0.0508,0.048,0.0509,0.0499,0.5536,0.5399,0.8189,0.3595,0.0433,0.3166,0.0433,0.0382,0.2128,0.0421,0.0371,0.04
6,0.9805,0.9517,0.9803,0.0399,0.0398,0.9818,0.982,0.9818,0.9822,0.0457,0.0457,0.9816,0.9816,0.0452,0.0452,0.0438,0.0416,0.9823,0.9823,0.0513,0.0526,0.051,0.0499,0.6462,0.6391,0.8775,0.4144,0.0377,0.3662,0.0375,0.0363,0.2507,0.041,0.0424,0.0411
7,0.9919,0.9774,0.9905,0.0452,0.0382,0.9922,0.9923,0.9923,0.9924,0.0457,0.0451,0.9922,0.9922,0.0457,0.0454,0.0418,0.0396,0.9925,0.9925,0.053,0.0523,0.0502,0.0482,0.7226,0.7234,0.9261,0.4709,0.0447,0.424,0.0447,0.0362,0.2797,0.043,0.04,0.0397
8,0.9977,0.9931,0.9963,0.0413,0.0352,0.9978,0.9976,0.9976,0.9976,0.0415,0.0429,0.9976,0.9976,0.0418,0.0435,0.0383,0.0406,0.9975,0.9975,0.0479,0.0489,0.0474,0.05,0.7861,0.7841,0.9535,0.5317,0.0375,0.4718,0.0373,0.0365,0.3176,0.0384,0.0376,0.0406
9,0.9991,0.9966,0.9965,0.0409,0.0356,0.9993,0.9992,0.9993,0.9992,0.0413,0.0381,0.9993,0.9992,0.0408,0.0377,0.0387,0.0387,0.9992,0.9992,0.047,0.0441,0.0463,0.046,0.8395,0.8359,0.9724,0.5787,0.0419,0.5175,0.0413,0.0368,0.3495,0.0414,0.0389,0.04
10,0.9995,0.9984,0.9976,0.0441,0.0388,0.9996,0.9996,0.9996,0.9996,0.0419,0.0427,0.9996,0.9995,0.0415,0.0418,0.0404,0.0411,0.9996,0.9995,0.0484,0.049,0.0494,0.0498,0.8688,0.869,0.979,0.6263,0.0388,0.5633,0.0393,0.0376,0.3841,0.0401,0.04,0.0419
