"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.1142,0.0954,0.1184,0.0336,0.0436,0.1322,0.1157,0.1291,0.1156,0.0533,0.0434,0.1231,0.1168,0.052,0.0428,0.0513,0.037,0.1318,0.1188,0.0488,0.0486,0.0603,0.0476,0.0846,0.086,0.0727,0.0518,0.0458,0.0569,0.046,0.0431,0.0447,0.0541,0.0657,0.0698
2,0.1961,0.1464,0.1867,0.0389,0.0409,0.1977,0.1827,0.1985,0.1802,0.0495,0.0448,0.1963,0.1764,0.0492,0.0439,0.0459,0.0427,0.2061,0.1861,0.0496,0.0466,0.0517,0.0456,0.1397,0.1321,0.0836,0.0557,0.0454,0.0629,0.0453,0.0418,0.0551,0.0803,0.1001,0.1111
3,0.2855,0.2275,0.2965,0.042,0.0429,0.289,0.2856,0.287,0.2847,0.04,0.0388,0.2839,0.2809,0.0391,0.0385,0.0467,0.0454,0.3054,0.3011,0.0419,0.0418,0.0499,0.0494,0.1883,0.1872,0.098,0.0563,0.04,0.0599,0.0397,0.044,0.0559,0.09,0.1258,0.1447
4,0.3826,0.3122,0.382,0.0433,0.0439,0.3802,0.3703,0.3775,0.3676,0.0473,0.0414,0.3761,0.3681,0.0468,0.0417,0.0456,0.0421,0.3991,0.3836,0.0502,0.045,0.0506,0.0468,0.2544,0.2552,0.1194,0.0622,0.0439,0.0667,0.0431,0.0439,0.064,0.1211,0.1677,0.1936
5,0.4648,0.3613,0.4698,0.0436,0.0457,0.4623,0.4586,0.462,0.4595,0.046,0.0443,0.4612,0.4563,0.0452,0.0437,0.0467,0.0449,0.4849,0.4814,0.0493,0.0465,0.0499,0.0486,0.3056,0.2919,0.1344,0.0718,0.0451,0.0712,0.0449,0.043,0.0715,0.1383,0.1964,0.2238
6,0.5489,0.4488,0.5444,0.0432,0.0434,0.5474,0.5423,0.5471,0.5414,0.0446,0.0454,0.5465,0.5428,0.0455,0.0456,0.0458,0.0458,0.568,0.5645,0.0487,0.0494,0.0499,0.0494,0.3659,0.3655,0.1559,0.0735,0.0424,0.077,0.0421,0.0456,0.0714,0.1521,0.2193,0.2576
7,0.6291,0.5174,0.6351,0.0438,0.0435,0.6262,0.632,0.6247,0.6303,0.0418,0.0407,0.6255,0.6287,0.0427,0.0411,0.0456,0.0459,0.647,0.6502,0.0457,0.0441,0.0497,0.0497,0.4259,0.4175,0.1733,0.0774,0.042,0.0808,0.042,0.0455,0.0788,0.1691,0.2523,0.3002
8,0.6854,0.5777,0.6722,0.0449,0.0416,0.6835,0.6632,0.6824,0.6615,0.0431,0.0414,0.6816,0.6599,0.0434,0.0418,0.0441,0.0415,0.7041,0.6799,0.0467,0.0457,0.0481,0.0456,0.4681,0.4627,0.1925,0.0921,0.0454,0.0901,0.0451,0.0438,0.0808,0.1858,0.2804,0.3302
9,0.7467,0.6471,0.7332,0.0424,0.0415,0.7445,0.7324,0.7441,0.732,0.0432,0.0426,0.7437,0.7302,0.0438,0.0436,0.0431,0.0404,0.7623,0.751,0.0477,0.0465,0.0466,0.0442,0.5302,0.5305,0.2084,0.0866,0.0382,0.0861,0.0384,0.0393,0.0815,0.2076,0.3129,0.3737
10,0.7956,0.7008,0.7989,0.0459,0.0428,0.7907,0.7971,0.7901,0.7956,0.0467,0.0431,0.79,0.7951,0.0458,0.0436,0.0463,0.0438,0.8073,0.8105,0.0495,0.0475,0.0507,0.0486,0.5765,0.5812,0.2256,0.1004,0.0465,0.0963,0.0464,0.0448,0.0927,0.228,0.345,0.4118
