"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.1295,0.1123,0.1294,0.0374,0.0455,0.1495,0.1267,0.1481,0.1247,0.0535,0.049,0.1386,0.1254,0.0537,0.05,0.0562,0.0514,0.1449,0.1201,0.0521,0.0539,0.065,0.0564,0.0765,0.074,0.1805,0.0864,0.0451,0.0877,0.044,0.0515,0.051,0.0572,0.0681,0.075
2,0.237,0.1776,0.2251,0.0378,0.0457,0.2368,0.2137,0.2317,0.2141,0.0459,0.0427,0.2293,0.2108,0.0462,0.0422,0.0505,0.0428,0.242,0.2285,0.0491,0.0459,0.0544,0.048,0.1333,0.1344,0.3167,0.1239,0.049,0.1228,0.0485,0.0454,0.0578,0.0796,0.0966,0.1061
3,0.3388,0.2516,0.342,0.0464,0.0461,0.3363,0.3292,0.3357,0.3239,0.0473,0.0475,0.3314,0.324,0.0484,0.0479,0.0495,0.0439,0.3512,0.3465,0.0502,0.0509,0.0531,0.0483,0.1825,0.181,0.4445,0.1729,0.0476,0.1622,0.0476,0.0465,0.0588,0.0912,0.1248,0.1386
4,0.4485,0.3523,0.4467,0.0454,0.0432,0.4408,0.4203,0.4388,0.4213,0.0442,0.0418,0.437,0.4209,0.0441,0.0427,0.0493,0.0458,0.4616,0.4463,0.0474,0.0456,0.0531,0.0476,0.245,0.2477,0.5622,0.215,0.0421,0.1972,0.0413,0.0456,0.0607,0.1075,0.1515,0.177
5,0.532,0.431,0.5395,0.0472,0.0474,0.5302,0.5266,0.5289,0.5239,0.0474,0.046,0.5278,0.5221,0.0483,0.0462,0.0501,0.048,0.5525,0.5488,0.0516,0.0505,0.0543,0.0527,0.2889,0.2903,0.6504,0.2559,0.0443,0.2377,0.0448,0.049,0.0622,0.1239,0.1779,0.2071
6,0.6326,0.5196,0.6294,0.045,0.0442,0.6271,0.621,0.6254,0.6178,0.0446,0.0431,0.6229,0.6149,0.0447,0.0433,0.0461,0.0429,0.6465,0.6395,0.0482,0.0474,0.0492,0.0462,0.3476,0.344,0.7405,0.296,0.0448,0.262,0.0449,0.0454,0.0619,0.1394,0.207,0.2369
7,0.7068,0.5936,0.7076,0.045,0.044,0.7008,0.6917,0.6982,0.6869,0.0418,0.045,0.6967,0.6844,0.0418,0.0447,0.047,0.0465,0.7193,0.7089,0.0461,0.0493,0.0501,0.0493,0.3908,0.3873,0.8064,0.3357,0.0447,0.303,0.0447,0.0477,0.0698,0.1663,0.2314,0.2727
8,0.7655,0.6784,0.7632,0.0439,0.0436,0.7623,0.7597,0.7613,0.7592,0.042,0.0383,0.7611,0.7565,0.0421,0.0387,0.0441,0.0451,0.7771,0.7729,0.0445,0.042,0.0485,0.049,0.4502,0.446,0.8477,0.3792,0.0433,0.3367,0.0438,0.0454,0.0652,0.1792,0.2639,0.3113
9,0.8067,0.7067,0.7953,0.047,0.0473,0.8008,0.7873,0.8004,0.7856,0.0427,0.0403,0.8004,0.7836,0.0424,0.0402,0.0501,0.0487,0.8173,0.8014,0.0458,0.0431,0.0541,0.0531,0.4937,0.491,0.8873,0.422,0.0444,0.3735,0.0446,0.047,0.0695,0.1928,0.2802,0.337
10,0.8597,0.7807,0.8651,0.0495,0.0483,0.8548,0.8583,0.8547,0.8577,0.045,0.044,0.8551,0.8578,0.0453,0.044,0.0499,0.0494,0.871,0.8757,0.0488,0.0474,0.053,0.0528,0.5411,0.5504,0.9233,0.4642,0.0463,0.4152,0.0459,0.049,0.0707,0.2048,0.3105,0.371
