"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","MANOVA_linear_group_int_interceptP","MANOVA_random_linear_group_int_interceptP","MANOVA_linear_group_int_covariateP","MANOVA_random_linear_group_int_covariateP","MANOVA_linear_group_int_groupP","MANOVA_random_linear_group_int_groupP","MANOVA_linear_group_int_intP","MANOVA_random_linear_group_int_intP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group","LM_lin_group_int_P_intercept","LM_lin_group_int_P_lin","LM_lin_group_int_P_group","LM_lin_group_int_P_int"
1,0.7116,0.5877,0.7122,0.0409,0.046,0.7067,0.6488,0.6879,0.6378,0.0434,0.0368,0.6675,0.6288,0.0412,0.0353,0.0436,0.0334,0.6524,0.6048,0.0516,0.0531,0.0562,0.0406,0.0611,0.0615,0.8258,0.419,0.0482,0.3781,0.0496,0.0477,0.231,0.0596,0.0585,0.0596
2,0.969,0.9265,0.9683,0.0443,0.0492,0.9649,0.9619,0.9635,0.9589,0.0474,0.046,0.9619,0.9575,0.0479,0.0452,0.0444,0.0408,0.9648,0.9601,0.0533,0.0532,0.0482,0.046,0.0879,0.0923,0.9883,0.6897,0.0505,0.6221,0.0507,0.0521,0.364,0.0639,0.0706,0.0763
3,0.9967,0.9898,0.9966,0.0478,0.0479,0.9963,0.9959,0.9964,0.9961,0.0495,0.046,0.9963,0.9962,0.0511,0.0474,0.048,0.0429,0.9972,0.9967,0.0548,0.0521,0.0509,0.0446,0.123,0.1208,0.9991,0.849,0.0537,0.7861,0.0542,0.0485,0.486,0.0729,0.0826,0.0955
4,0.9999,0.9985,0.9999,0.0447,0.0431,0.9999,0.9998,0.9999,0.9998,0.0476,0.0454,0.9999,0.9998,0.0481,0.0472,0.0441,0.0447,0.9999,0.9998,0.0496,0.0496,0.0448,0.0456,0.1357,0.1325,1,0.9278,0.0506,0.8883,0.0506,0.0428,0.5855,0.0746,0.088,0.0975
5,1,1,1,0.0492,0.0509,1,1,1,1,0.0469,0.0458,1,1,0.047,0.0459,0.0536,0.0538,1,1,0.0496,0.0483,0.0563,0.0564,0.1647,0.1613,1,0.9705,0.0474,0.9446,0.0475,0.0493,0.6811,0.0821,0.0984,0.1118
6,1,1,1,0.0472,0.0469,1,1,1,1,0.0487,0.0501,1,1,0.0483,0.0516,0.0482,0.0437,1,1,0.0521,0.0535,0.0503,0.0463,0.203,0.2009,1,0.9906,0.0468,0.9769,0.0464,0.047,0.7525,0.0898,0.1219,0.1403
7,1,1,0.9998,0.0448,0.0435,1,1,1,1,0.0466,0.0461,1,1,0.0475,0.0471,0.0467,0.0435,1,1,0.05,0.0505,0.0487,0.0459,0.2286,0.2337,1,0.9961,0.0507,0.9876,0.0508,0.0468,0.8083,0.097,0.1296,0.1477
8,1,1,0.9999,0.0499,0.0468,1,1,1,1,0.0529,0.0517,1,1,0.0533,0.052,0.0465,0.0434,1,1,0.0557,0.0547,0.0481,0.0451,0.2614,0.2504,1,0.9987,0.0508,0.9942,0.0508,0.0458,0.8543,0.1072,0.1443,0.1657
9,1,1,1,0.0451,0.0439,1,1,1,1,0.0511,0.0477,1,1,0.0512,0.0484,0.0442,0.0418,1,1,0.0543,0.0504,0.0474,0.0442,0.2909,0.2855,1,0.9991,0.046,0.997,0.0458,0.0466,0.8889,0.1103,0.1522,0.1711
10,1,1,1,0.0518,0.0515,1,1,1,1,0.0505,0.0497,1,1,0.0502,0.0489,0.049,0.0487,1,1,0.052,0.0511,0.0516,0.0506,0.3209,0.3226,1,0.9996,0.0508,0.9988,0.0508,0.0502,0.916,0.1244,0.1727,0.1946
