"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.0493,0.0511,0.0484,0.0342,0.0443,0.0661,0.051,0.0646,0.0528,0.0551,0.0447,0.0651,0.0527,0.0518,0.0437,0.0566,0.0464,0.0565,0.0507,0.0497,0.0522,0.0484,0.0474
2,0.0529,0.0503,0.0519,0.0409,0.0441,0.0605,0.0522,0.0593,0.0518,0.0531,0.0535,0.0601,0.0513,0.054,0.0545,0.0503,0.0477,0.0541,0.0515,0.0528,0.0542,0.0526,0.0495
3,0.0496,0.0492,0.049,0.0499,0.0502,0.0524,0.0481,0.052,0.047,0.0558,0.0509,0.0527,0.0474,0.0564,0.0509,0.0548,0.0497,0.048,0.0504,0.0533,0.0493,0.053,0.0465
4,0.0496,0.0477,0.0479,0.0474,0.0492,0.0516,0.0505,0.0513,0.0507,0.0506,0.0528,0.0507,0.0499,0.0501,0.0527,0.0511,0.0484,0.0492,0.0488,0.0495,0.0495,0.0494,0.0519
5,0.0493,0.046,0.0474,0.048,0.0492,0.0513,0.0491,0.0513,0.0483,0.0531,0.0506,0.0514,0.0481,0.0521,0.0515,0.0517,0.0488,0.0497,0.0515,0.05,0.0516,0.0499,0.0489
6,0.0512,0.0515,0.0532,0.0482,0.0487,0.0526,0.0507,0.0526,0.0489,0.053,0.0519,0.0522,0.0499,0.0522,0.0511,0.0514,0.0488,0.049,0.049,0.0504,0.0471,0.0503,0.0471
7,0.0495,0.0475,0.0482,0.046,0.0446,0.0521,0.0491,0.0526,0.0482,0.0548,0.0529,0.0526,0.048,0.0552,0.0532,0.0473,0.0416,0.052,0.0495,0.0473,0.0525,0.0472,0.0468
8,0.0439,0.0507,0.0477,0.0511,0.0508,0.0452,0.0477,0.0452,0.048,0.0432,0.0391,0.0446,0.0476,0.0432,0.0394,0.0518,0.0486,0.0467,0.0475,0.0479,0.0468,0.0473,0.0493
9,0.0501,0.0531,0.0529,0.0439,0.0428,0.0505,0.0513,0.0497,0.0515,0.0524,0.0496,0.05,0.0515,0.0515,0.0496,0.0433,0.0423,0.0542,0.0514,0.0516,0.053,0.0518,0.05
10,0.0494,0.0508,0.0502,0.0492,0.0488,0.0497,0.0514,0.0492,0.0503,0.0491,0.0464,0.0495,0.0505,0.0489,0.0463,0.0489,0.047,0.0484,0.0489,0.0504,0.0471,0.0503,0.0451
