"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.0774,0.0767,0.0799,0.0596,0.0784,0.0963,0.0776,0.0953,0.0757,0.0682,0.0564,0.0961,0.0789,0.0706,0.0584,0.0941,0.0794,0.0774,0.0501,0.07,0.0479,0.0692,0.0437
2,0.1278,0.0993,0.1238,0.1103,0.1295,0.1362,0.1228,0.1368,0.1277,0.0793,0.0726,0.143,0.1301,0.0824,0.0796,0.1367,0.1257,0.1086,0.0499,0.0995,0.0463,0.0978,0.0445
3,0.1768,0.1365,0.1733,0.1697,0.1869,0.1844,0.1762,0.189,0.1798,0.1047,0.1043,0.1934,0.1846,0.1087,0.1087,0.1923,0.193,0.1413,0.0552,0.133,0.0529,0.1329,0.048
4,0.2351,0.1757,0.2401,0.2102,0.2304,0.2425,0.2425,0.2509,0.251,0.1333,0.1307,0.2547,0.2531,0.1381,0.1378,0.2353,0.2239,0.1826,0.0604,0.1744,0.0536,0.1748,0.0438
5,0.2831,0.2192,0.2798,0.2638,0.2821,0.2908,0.2805,0.2976,0.2882,0.1547,0.1492,0.3013,0.2917,0.1588,0.1548,0.2877,0.2815,0.2144,0.0618,0.1982,0.0565,0.1982,0.0442
6,0.3364,0.2535,0.3404,0.3268,0.343,0.3411,0.3386,0.3492,0.3463,0.1797,0.1713,0.3553,0.3513,0.1861,0.1766,0.3479,0.3393,0.2475,0.0644,0.2346,0.0618,0.2347,0.0437
7,0.379,0.2871,0.3809,0.381,0.3992,0.3867,0.386,0.3983,0.3967,0.1991,0.1959,0.4021,0.4005,0.2029,0.2003,0.3976,0.3909,0.2741,0.0656,0.2622,0.063,0.2623,0.0442
8,0.4507,0.3365,0.4488,0.426,0.4465,0.4573,0.4537,0.4664,0.4635,0.2238,0.2259,0.4715,0.4648,0.2291,0.2315,0.4486,0.4455,0.3187,0.0634,0.2953,0.059,0.295,0.0438
9,0.4906,0.3711,0.4802,0.4755,0.4909,0.4985,0.4834,0.5095,0.4934,0.2534,0.2497,0.5124,0.4984,0.2596,0.2564,0.4941,0.4863,0.3425,0.0665,0.3284,0.0607,0.3285,0.042
10,0.5349,0.44,0.5396,0.5291,0.5432,0.5394,0.5387,0.552,0.5502,0.2762,0.2728,0.556,0.555,0.2809,0.276,0.5463,0.5421,0.3801,0.0722,0.3629,0.0657,0.363,0.0444
