"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.1333,0.1044,0.1359,0.0358,0.0416,0.1512,0.1244,0.1516,0.1283,0.0921,0.0817,0.1461,0.1249,0.0876,0.0798,0.0534,0.0438,0.182,0.0622,0.0761,0.0579,0.0759,0.0478
2,0.2392,0.1841,0.2413,0.0398,0.0427,0.2424,0.2246,0.2553,0.2416,0.1347,0.1289,0.2523,0.2331,0.1344,0.1289,0.0517,0.0488,0.3198,0.0598,0.1023,0.0622,0.1031,0.0472
3,0.3394,0.261,0.3514,0.0427,0.0449,0.3364,0.3347,0.3542,0.3516,0.1813,0.176,0.3537,0.344,0.182,0.1758,0.0518,0.045,0.4418,0.0573,0.1356,0.056,0.1358,0.0533
4,0.4456,0.3448,0.4452,0.0462,0.0462,0.4405,0.4358,0.465,0.4587,0.2378,0.2349,0.4657,0.4537,0.2376,0.2325,0.054,0.0542,0.5592,0.0653,0.176,0.0663,0.1757,0.0485
5,0.5423,0.4389,0.5461,0.0467,0.0459,0.5363,0.5321,0.5568,0.5549,0.2966,0.2978,0.5583,0.5523,0.2959,0.2963,0.052,0.0503,0.6571,0.0682,0.2124,0.0643,0.212,0.0512
6,0.6279,0.5011,0.6304,0.0451,0.0444,0.6239,0.6223,0.6471,0.6457,0.3471,0.3381,0.6473,0.6452,0.3474,0.3411,0.0537,0.0531,0.7411,0.0752,0.2395,0.0708,0.2397,0.0476
7,0.6984,0.5925,0.6983,0.0475,0.0462,0.6946,0.6865,0.7163,0.7094,0.3956,0.3858,0.7164,0.7096,0.3965,0.3854,0.0527,0.0508,0.8036,0.0783,0.271,0.076,0.2714,0.0467
8,0.7562,0.6588,0.7617,0.0455,0.0425,0.7533,0.7557,0.7713,0.7753,0.4501,0.4465,0.7717,0.7759,0.4482,0.4468,0.0483,0.0449,0.8433,0.081,0.3075,0.075,0.3073,0.0499
9,0.8135,0.7195,0.8074,0.0423,0.0439,0.8087,0.7969,0.8279,0.8158,0.4946,0.4969,0.828,0.8147,0.4951,0.4963,0.0494,0.0489,0.8895,0.0832,0.3371,0.078,0.3371,0.0481
10,0.858,0.763,0.8569,0.049,0.0466,0.8534,0.85,0.8684,0.8652,0.5467,0.5514,0.8682,0.8652,0.5456,0.5506,0.0514,0.0517,0.9212,0.0851,0.3712,0.0804,0.3715,0.0522
