"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.707,0.59,0.7133,0.0412,0.0458,0.7049,0.6552,0.7006,0.6537,0.0624,0.0486,0.6769,0.6301,0.0555,0.0478,0.0418,0.0335,0.8221,0.3324,0.064,0.3031,0.0645,0.0517
2,0.9722,0.9254,0.9729,0.0434,0.0458,0.9675,0.9658,0.9694,0.9674,0.084,0.0875,0.968,0.9648,0.0832,0.0892,0.0453,0.0393,0.9902,0.5491,0.0757,0.5044,0.0751,0.0515
3,0.9982,0.9918,0.9984,0.0495,0.0489,0.9976,0.9976,0.998,0.9978,0.118,0.1158,0.9979,0.9978,0.118,0.1135,0.0501,0.0459,0.9993,0.7069,0.0939,0.6516,0.0943,0.0495
4,0.9998,0.9989,0.9996,0.048,0.0474,0.9998,0.9997,0.9997,0.9997,0.1456,0.1401,0.9998,0.9998,0.1459,0.1391,0.0492,0.0449,0.9999,0.8141,0.1052,0.7668,0.1049,0.0475
5,1,1,0.9999,0.0497,0.0465,1,1,1,1,0.1657,0.1664,1,1,0.1664,0.1677,0.0508,0.0488,1,0.8899,0.1188,0.8503,0.1191,0.0493
6,1,1,0.9998,0.0458,0.0463,1,1,1,1,0.1988,0.1891,1,1,0.1978,0.1916,0.0484,0.0478,1,0.9371,0.132,0.9047,0.1317,0.0486
7,1,1,0.9999,0.0481,0.0473,1,1,1,1,0.2279,0.2239,1,1,0.228,0.2247,0.0504,0.0478,1,0.965,0.1479,0.9429,0.148,0.0501
8,1,1,1,0.0451,0.0463,1,1,1,1,0.2524,0.2632,1,1,0.2534,0.2623,0.0479,0.0507,1,0.98,0.1614,0.9632,0.1613,0.0489
9,1,1,1,0.0461,0.0441,1,1,1,1,0.2966,0.3,1,1,0.2965,0.297,0.048,0.0469,1,0.9887,0.1773,0.98,0.1769,0.0483
10,1,1,1,0.0453,0.0486,1,1,1,1,0.3248,0.3263,1,1,0.3239,0.3246,0.0515,0.0486,1,0.9943,0.1939,0.9877,0.1944,0.0516
