"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.0558,0.0788,0.0581,0.2411,0.3309,0.071,0.0542,0.0693,0.055,0.0362,0.0319,0.0882,0.0731,0.0472,0.0437,0.3337,0.3005,0.0809,0.0615,0.0276,0.1489,0.0336,0.2434
2,0.1149,0.1297,0.1106,0.5815,0.6818,0.1083,0.097,0.1078,0.0968,0.0301,0.0292,0.175,0.1605,0.0543,0.0528,0.6747,0.652,0.1633,0.0978,0.03,0.2891,0.037,0.4638
3,0.1571,0.1778,0.1597,0.8129,0.8648,0.1457,0.1423,0.1444,0.1425,0.0308,0.029,0.2443,0.2419,0.0526,0.0489,0.8638,0.8553,0.2366,0.1298,0.0314,0.4115,0.04,0.6488
4,0.2193,0.2439,0.215,0.9243,0.9481,0.1976,0.1828,0.195,0.1826,0.0339,0.0308,0.3297,0.3166,0.0566,0.0526,0.9487,0.9542,0.3236,0.165,0.0328,0.5171,0.0413,0.7754
5,0.294,0.3447,0.2971,0.9721,0.9802,0.268,0.2634,0.2667,0.256,0.0311,0.0317,0.423,0.4129,0.0586,0.0591,0.9818,0.9807,0.4111,0.2015,0.0345,0.6224,0.0429,0.8638
6,0.341,0.4105,0.3587,0.9912,0.9956,0.3117,0.3207,0.311,0.3186,0.0343,0.0315,0.4866,0.4984,0.0597,0.0563,0.9958,0.9958,0.4787,0.2419,0.0349,0.7037,0.0454,0.9187
7,0.4237,0.4697,0.4228,0.9975,0.9985,0.3861,0.3756,0.3844,0.3755,0.0336,0.0329,0.562,0.5542,0.0654,0.0645,0.9986,0.9988,0.5591,0.2758,0.0367,0.779,0.0469,0.9552
8,0.4931,0.5429,0.4949,0.9989,0.9995,0.451,0.4488,0.4509,0.4485,0.0359,0.0365,0.624,0.621,0.0665,0.067,0.9995,0.9995,0.6252,0.3207,0.0379,0.8278,0.0458,0.9715
9,0.551,0.6193,0.554,0.9994,0.9997,0.5067,0.5069,0.5069,0.5063,0.0369,0.0341,0.6892,0.6907,0.0686,0.064,0.9998,0.9998,0.692,0.3493,0.0392,0.8665,0.0495,0.9848
10,0.6018,0.671,0.5968,0.9998,1,0.554,0.5383,0.5525,0.5354,0.039,0.0402,0.7294,0.7172,0.0741,0.0763,0.9999,0.9999,0.7313,0.3798,0.0372,0.8969,0.0483,0.9913
