"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.3469,0.2731,0.3455,0.0711,0.0906,0.3518,0.2893,0.3448,0.2832,0.066,0.053,0.3454,0.2843,0.0659,0.0582,0.0918,0.0771,0.468,0.135,0.058,0.1595,0.0591,0.0862
2,0.6629,0.5661,0.6806,0.1284,0.1489,0.6458,0.6365,0.656,0.6504,0.1001,0.0881,0.6891,0.6855,0.1127,0.0971,0.1726,0.1611,0.7791,0.1869,0.0856,0.2559,0.0899,0.129
3,0.8568,0.7742,0.8633,0.2118,0.2386,0.8397,0.839,0.8473,0.8438,0.1348,0.1274,0.8717,0.8677,0.1542,0.1492,0.269,0.2627,0.9243,0.2505,0.1108,0.3579,0.115,0.1821
4,0.9485,0.9063,0.9507,0.2784,0.3101,0.9404,0.9411,0.9437,0.9446,0.1605,0.1565,0.9574,0.9579,0.1842,0.1759,0.3515,0.3443,0.9764,0.3261,0.1255,0.4581,0.1296,0.2271
5,0.9803,0.9538,0.9815,0.335,0.3687,0.9788,0.9792,0.9811,0.982,0.2076,0.2115,0.9853,0.9859,0.2325,0.2368,0.4158,0.4187,0.9939,0.3869,0.154,0.5481,0.1582,0.2743
6,0.9958,0.9859,0.995,0.409,0.4469,0.9947,0.9936,0.996,0.9947,0.2451,0.2428,0.9976,0.997,0.2732,0.2694,0.5019,0.5021,0.999,0.459,0.1729,0.6383,0.1791,0.3227
7,0.9981,0.994,0.9978,0.4723,0.5134,0.9979,0.9978,0.9982,0.9981,0.2835,0.2898,0.9987,0.9987,0.313,0.3226,0.5682,0.579,0.9996,0.5238,0.1877,0.6944,0.1928,0.3579
8,0.9997,0.9983,0.9991,0.5427,0.5873,0.9993,0.9993,0.9993,0.9993,0.3203,0.3106,0.9996,0.9996,0.3541,0.3436,0.6421,0.6326,0.9999,0.5681,0.2139,0.7553,0.2197,0.4106
9,0.9999,0.999,0.9996,0.5995,0.6468,0.9999,0.9999,0.9999,0.9999,0.3621,0.3485,1,1,0.3966,0.3807,0.6985,0.6985,1,0.61,0.2397,0.7961,0.2463,0.4556
10,1,0.9996,0.9997,0.6525,0.6942,1,1,1,1,0.4001,0.3867,1,1,0.4348,0.422,0.7427,0.7477,1,0.6636,0.2662,0.8394,0.2726,0.494
