"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0458,0.0452,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0561,0.0457,NA,NA,0.0332,0.0432,0.0494,0.0278,0.0464,0.0034
2,0.0508,0.0469,0.0472,0,0.003,0.0515,0.049,0.0515,0.049,0.0519,0.0485,NA,0.0527,0.0519,0.0485,0.0545,0.0549,0.0353,0.0463,0.0531,0.0404,0.0531,0.0307
3,0.0514,0.0483,0.0516,0,0.017,0.0546,0.0502,0.0546,0.0502,0.0557,0.053,0.0546,0.0494,0.0557,0.053,0.0505,0.0462,0.039,0.0473,0.0529,0.038,0.0527,0.0294
4,0.0481,0.0527,0.0492,0.1102,0.0405,0.0497,0.0467,0.0497,0.0467,0.056,0.0527,0.0482,0.0466,0.056,0.0527,0.0458,0.0482,0.0397,0.0514,0.0569,0.0446,0.0567,0.0324
5,0.0521,0.0524,0.0553,0.0387,0.0477,0.049,0.0473,0.049,0.0473,0.0482,0.0514,0.0483,0.0462,0.0482,0.0514,0.0524,0.0521,0.039,0.0475,0.0503,0.0463,0.0503,0.0322
6,0.0519,0.0474,0.0504,0.0402,0.0491,0.0571,0.0577,0.0571,0.0577,0.0502,0.044,0.0554,0.0559,0.0502,0.044,0.054,0.0513,0.0461,0.0497,0.0502,0.0449,0.0501,0.0372
7,0.051,0.0557,0.0545,0.0476,0.0496,0.0519,0.0479,0.0519,0.0479,0.0508,0.0475,0.0517,0.0479,0.0508,0.0475,0.0527,0.0513,0.0434,0.0495,0.0548,0.0476,0.0547,0.0333
8,0.0517,0.0517,0.0501,0.0502,0.0514,0.0483,0.0483,0.0483,0.0483,0.0531,0.053,0.0495,0.0502,0.0531,0.053,0.0528,0.0505,0.0415,0.0481,0.0518,0.0475,0.0518,0.0389
9,0.0494,0.0486,0.0496,0.0438,0.0474,0.0493,0.0491,0.0493,0.0491,0.0474,0.0495,0.0503,0.0484,0.0474,0.0495,0.0471,0.0469,0.0435,0.0479,0.0479,0.0466,0.0478,0.0357
10,0.0487,0.052,0.0499,0.043,0.0475,0.0483,0.0459,0.0483,0.0459,0.0544,0.0533,0.0493,0.0472,0.0544,0.0533,0.0474,0.0455,0.042,0.0501,0.0511,0.0468,0.0509,0.0383
