"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0609,0.0614,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0797,0.0727,NA,NA,0.0876,0.0515,0.0717,0.0372,0.0676,0.0032
2,0.1182,0.0936,0.1064,0,0.002,0.0924,0.0886,0.0924,0.0886,0.1076,0.0971,NA,0.0675,0.1076,0.0971,0.0485,0.0543,0.1584,0.0578,0.0974,0.0499,0.0959,0.0375
3,0.1648,0.1274,0.1553,0,0.0167,0.1493,0.1481,0.1493,0.1481,0.1226,0.1223,0.1278,0.1228,0.1226,0.1223,0.0533,0.0523,0.2416,0.0586,0.0996,0.0492,0.0993,0.0362
4,0.2138,0.163,0.2114,0.1126,0.0436,0.2091,0.1965,0.2091,0.1965,0.1526,0.1425,0.1923,0.1889,0.1526,0.1425,0.0509,0.0466,0.313,0.0592,0.125,0.0566,0.1242,0.0353
5,0.2607,0.192,0.2567,0.0422,0.0537,0.2663,0.252,0.2663,0.252,0.1777,0.1769,0.2555,0.243,0.1777,0.1769,0.0564,0.0525,0.3971,0.0566,0.1439,0.0494,0.1436,0.0372
6,0.3091,0.2214,0.3061,0.0355,0.0446,0.3302,0.3115,0.3302,0.3115,0.2216,0.2195,0.3211,0.3082,0.2216,0.2195,0.0453,0.0447,0.4632,0.0617,0.1614,0.062,0.1611,0.0378
7,0.3706,0.2878,0.3662,0.0527,0.0521,0.4056,0.4021,0.4056,0.4021,0.246,0.2435,0.3994,0.3952,0.246,0.2435,0.0542,0.0512,0.5439,0.0666,0.1825,0.0578,0.1826,0.0367
8,0.4214,0.3247,0.4153,0.0467,0.048,0.465,0.4591,0.465,0.4591,0.2797,0.276,0.4613,0.459,0.2797,0.276,0.0525,0.0532,0.5967,0.0653,0.2086,0.0606,0.2081,0.0381
9,0.4664,0.3558,0.467,0.0483,0.0483,0.5169,0.5118,0.5169,0.5118,0.3065,0.2978,0.5146,0.5153,0.3065,0.2978,0.0534,0.0536,0.6525,0.0707,0.2204,0.0631,0.2208,0.0404
10,0.4988,0.3853,0.4955,0.0452,0.0487,0.5536,0.5558,0.5536,0.5558,0.3443,0.3384,0.55,0.5521,0.3443,0.3384,0.0524,0.0534,0.6955,0.0709,0.246,0.0616,0.246,0.0411
