"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0461,0.0464,0,0,NA,NA,NA,NA,0.0527,0.0483,NA,NA,0.0527,0.0483,NA,NA,0.1282,0.0479,0.0512,0.0391,0.0469,0.0066
2,0.1058,0.0865,0.1015,0,0.0019,0.0893,0.0905,0.0893,0.0905,0.0738,0.0663,0.0851,0.0856,0.0738,0.0663,0.083,0.0836,0.2475,0.0657,0.0706,0.0769,0.0704,0.0815
3,0.1597,0.1287,0.1609,0,0.0518,0.1619,0.1516,0.1619,0.1516,0.0807,0.0765,0.2179,0.2085,0.0807,0.0765,0.2135,0.1959,0.3549,0.0793,0.0763,0.1098,0.0767,0.0941
4,0.2188,0.1584,0.2156,0.3563,0.2523,0.24,0.2251,0.24,0.2251,0.0894,0.0855,0.33,0.3166,0.0894,0.0855,0.3403,0.3389,0.4687,0.0843,0.0889,0.1313,0.0899,0.1094
5,0.3,0.2138,0.2929,0.2339,0.3532,0.3372,0.3375,0.3372,0.3375,0.102,0.0966,0.4656,0.4746,0.102,0.0966,0.4505,0.4485,0.5813,0.0998,0.1007,0.1693,0.1007,0.1323
6,0.3584,0.2709,0.3581,0.2686,0.4315,0.4088,0.4128,0.4088,0.4128,0.1148,0.1119,0.5501,0.5501,0.1148,0.1119,0.5509,0.5346,0.6549,0.113,0.1136,0.1891,0.1146,0.1548
7,0.4343,0.3413,0.4354,0.3863,0.5234,0.5076,0.5001,0.5076,0.5001,0.1195,0.1147,0.6434,0.633,0.1195,0.1147,0.643,0.6177,0.7358,0.1308,0.1208,0.2193,0.121,0.174
8,0.4988,0.3988,0.5071,0.4329,0.59,0.5828,0.58,0.5828,0.58,0.1361,0.1321,0.7237,0.7263,0.1361,0.1321,0.7136,0.7089,0.7997,0.1427,0.143,0.2539,0.144,0.2057
9,0.5577,0.4418,0.5573,0.488,0.6517,0.6521,0.6516,0.6521,0.6516,0.1486,0.1473,0.776,0.7716,0.1486,0.1473,0.7714,0.7719,0.843,0.1571,0.1507,0.276,0.1517,0.2174
10,0.618,0.5031,0.6252,0.5365,0.7001,0.7112,0.7128,0.7112,0.7128,0.1589,0.1634,0.8241,0.8247,0.1589,0.1634,0.8211,0.8103,0.8735,0.1681,0.1647,0.3041,0.1658,0.2441
