"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0821,0.0845,0,0,NA,NA,NA,NA,0.0639,0.0539,NA,NA,0.0639,0.0539,NA,NA,0.2074,0.0827,0.0613,0.0783,0.0576,0.0077
2,0.2296,0.179,0.2157,0,0.0008,0.1433,0.1293,0.1433,0.1293,0.0841,0.0751,0.1139,0.114,0.0841,0.0751,0.0719,0.0759,0.4263,0.1257,0.0696,0.1503,0.0697,0.084
3,0.3469,0.2688,0.3542,0,0.0191,0.313,0.3049,0.313,0.3049,0.1056,0.1003,0.3407,0.3388,0.1056,0.1003,0.1164,0.1164,0.6188,0.1677,0.0825,0.2154,0.0833,0.0909
4,0.4884,0.3635,0.4863,0.1604,0.0611,0.4856,0.476,0.4856,0.476,0.1376,0.1321,0.5615,0.5529,0.1376,0.1321,0.1597,0.1519,0.7698,0.2105,0.0956,0.2808,0.0959,0.1148
5,0.6016,0.4784,0.6064,0.075,0.0812,0.6358,0.6407,0.6358,0.6407,0.1517,0.1532,0.7112,0.7102,0.1517,0.1532,0.2106,0.1986,0.8599,0.2622,0.1076,0.3445,0.1085,0.1315
6,0.7024,0.567,0.7017,0.0784,0.0993,0.7459,0.7367,0.7459,0.7367,0.1729,0.1643,0.8068,0.7986,0.1729,0.1643,0.2521,0.2542,0.9196,0.2943,0.1267,0.3998,0.1269,0.1576
7,0.7875,0.6705,0.7866,0.1157,0.1142,0.8354,0.8383,0.8354,0.8383,0.1999,0.1981,0.8846,0.8858,0.1999,0.1981,0.2899,0.2811,0.9597,0.3313,0.1401,0.4457,0.1408,0.173
8,0.8404,0.7362,0.8437,0.1167,0.1218,0.8928,0.8978,0.8928,0.8978,0.2281,0.2222,0.9246,0.9231,0.2281,0.2222,0.3244,0.2999,0.9761,0.3721,0.1509,0.5006,0.1515,0.1951
9,0.8951,0.7934,0.8875,0.133,0.1467,0.9349,0.933,0.9349,0.933,0.2536,0.2543,0.9546,0.9524,0.2536,0.2543,0.3717,0.3722,0.9857,0.4196,0.164,0.5579,0.1643,0.2222
10,0.9271,0.8493,0.9261,0.1362,0.1536,0.9591,0.9575,0.9591,0.9575,0.2718,0.2707,0.9722,0.9706,0.2718,0.2707,0.4011,0.3953,0.9929,0.461,0.1767,0.5992,0.1767,0.2445
