"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0501,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0568,0.05,NA,NA,0.0364,0.042,0.0523,0.0283,0.0487,0.003
2,0.0587,0.0516,0,0.0033,0.054,0.0486,0.054,0.0486,0.0527,0.0523,0.0519,0.0495,0.0527,0.0523,0.0524,0.0515,0.0363,0.0491,0.0563,0.0419,0.0556,0.0332
3,0.0446,0.0506,0,0.0178,0.0506,0.0504,0.0506,0.0504,0.0527,0.0527,0.0514,0.0526,0.0527,0.0527,0.0516,0.0519,0.0379,0.0486,0.0522,0.0443,0.0524,0.0277
4,0.052,0.0492,0.1088,0.0441,0.0528,0.0537,0.0528,0.0537,0.0492,0.045,0.0531,0.0551,0.0492,0.045,0.0501,0.0497,0.0416,0.0474,0.0538,0.0442,0.0535,0.0285
5,0.0543,0.053,0.0395,0.0441,0.0541,0.052,0.0541,0.052,0.0515,0.0472,0.0539,0.0515,0.0515,0.0472,0.0492,0.0477,0.0422,0.0509,0.0546,0.0469,0.054,0.0322
6,0.0498,0.054,0.0396,0.0489,0.0494,0.0451,0.0494,0.0451,0.0479,0.0459,0.0492,0.0458,0.0479,0.0459,0.054,0.0552,0.0382,0.0481,0.0527,0.044,0.0526,0.0346
7,0.0546,0.0535,0.0512,0.049,0.0547,0.0563,0.0547,0.0563,0.0487,0.0485,0.0547,0.0555,0.0487,0.0485,0.0527,0.0551,0.0425,0.0482,0.0533,0.0445,0.0534,0.0333
8,0.048,0.0487,0.0493,0.0516,0.0508,0.0492,0.0508,0.0492,0.0503,0.0504,0.0516,0.0517,0.0503,0.0504,0.053,0.0516,0.0434,0.0534,0.0521,0.0498,0.0523,0.038
9,0.0519,0.0488,0.0479,0.0457,0.0542,0.054,0.0542,0.054,0.0507,0.0489,0.0545,0.0538,0.0507,0.0489,0.0511,0.0499,0.0434,0.0469,0.0534,0.0471,0.0532,0.0354
10,0.0491,0.0467,0.0451,0.0522,0.0489,0.047,0.0489,0.047,0.0479,0.047,0.0492,0.0459,0.0479,0.047,0.0525,0.0542,0.0396,0.0489,0.0546,0.0443,0.0544,0.0372
