"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0379,0.0381,0,0,NA,NA,NA,NA,0.0533,0.0465,NA,NA,0.0533,0.0465,NA,NA,0.0298,0.0403,0.0487,0.0278,0.0455,0.0055
2,0.0335,0.0354,0.0326,0,0.0021,0.042,0.0421,0.042,0.0421,0.0539,0.0479,NA,0.0508,0.0539,0.0479,0.0684,0.0702,0.0291,0.0476,0.0518,0.0544,0.0518,0.0877
3,0.0343,0.0394,0.0354,0,0.0413,0.0415,0.0382,0.0415,0.0382,0.0509,0.05,0.0521,0.0487,0.0509,0.05,0.1264,0.1274,0.0323,0.0438,0.0463,0.0545,0.0474,0.1086
4,0.0338,0.0384,0.0327,0.3088,0.1745,0.0374,0.0371,0.0374,0.0371,0.0512,0.0493,0.0537,0.0537,0.0512,0.0493,0.1987,0.2065,0.0334,0.0463,0.0482,0.0654,0.0484,0.1437
5,0.0319,0.0372,0.0299,0.1826,0.2432,0.0386,0.0402,0.0386,0.0402,0.0527,0.0535,0.055,0.0578,0.0527,0.0535,0.2615,0.2439,0.0319,0.0448,0.0483,0.0684,0.0493,0.178
6,0.0325,0.0423,0.0326,0.2174,0.3022,0.0364,0.036,0.0364,0.036,0.0524,0.0508,0.0497,0.0502,0.0524,0.0508,0.3296,0.3119,0.0336,0.0444,0.0461,0.0721,0.0465,0.2181
7,0.0329,0.0377,0.0308,0.3012,0.3529,0.0366,0.0363,0.0366,0.0363,0.0504,0.0528,0.0508,0.0502,0.0504,0.0528,0.3882,0.3801,0.0326,0.0455,0.0491,0.0787,0.0494,0.2552
8,0.031,0.0368,0.0274,0.3417,0.3991,0.0351,0.0321,0.0351,0.0321,0.0518,0.0519,0.0529,0.0514,0.0518,0.0519,0.4519,0.4506,0.037,0.0419,0.0495,0.0889,0.0501,0.2909
9,0.0323,0.046,0.0327,0.3837,0.4465,0.0342,0.0313,0.0342,0.0313,0.044,0.0447,0.0518,0.0488,0.044,0.0447,0.5075,0.5092,0.0338,0.0474,0.0453,0.0881,0.0457,0.3329
10,0.0335,0.0457,0.0322,0.4363,0.5058,0.0376,0.0364,0.0376,0.0364,0.0498,0.0486,0.0553,0.0542,0.0498,0.0486,0.569,0.5809,0.0367,0.0497,0.0453,0.0906,0.0459,0.3733
