"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.1014,0.1031,0,0,NA,NA,NA,NA,0.0565,0.0467,NA,NA,0.0565,0.0467,NA,NA,0.4123,0.2009,0.0603,0.1596,0.0576,0.0125
2,0.436,0.3479,0.4349,0,0.0005,0.3721,0.3513,0.3721,0.3513,0.0689,0.0616,NA,0.1666,0.0689,0.0616,0.0521,0.0524,0.71,0.3369,0.0592,0.2562,0.0595,0.0561
3,0.6849,0.5145,0.6943,0,0.014,0.7074,0.7029,0.7074,0.7029,0.0845,0.0746,0.6128,0.6071,0.0845,0.0746,0.0559,0.0536,0.8909,0.4672,0.065,0.3748,0.0653,0.0442
4,0.8464,0.6813,0.8453,0.1219,0.0431,0.8511,0.8453,0.8511,0.8453,0.0972,0.0927,0.8241,0.8157,0.0972,0.0927,0.0567,0.0554,0.9577,0.5736,0.0705,0.4776,0.0704,0.0448
5,0.9307,0.8204,0.9244,0.0421,0.0472,0.9327,0.9281,0.9327,0.9281,0.1119,0.1073,0.9246,0.9171,0.1119,0.1073,0.0518,0.051,0.9877,0.6677,0.0789,0.5699,0.0789,0.0438
6,0.9727,0.912,0.9731,0.0371,0.0484,0.9711,0.9672,0.9711,0.9672,0.125,0.1252,0.9679,0.9644,0.125,0.1252,0.0511,0.0514,0.9965,0.7582,0.0813,0.6537,0.0813,0.0469
7,0.9881,0.9548,0.9881,0.0506,0.0457,0.9899,0.9897,0.9899,0.9897,0.1474,0.1496,0.9891,0.9884,0.1474,0.1496,0.0518,0.0507,0.999,0.8133,0.0981,0.723,0.0981,0.0472
8,0.9962,0.9807,0.9959,0.0466,0.0511,0.9961,0.9961,0.9961,0.9961,0.1528,0.1538,0.9959,0.9959,0.1528,0.1538,0.0507,0.0533,0.9997,0.8627,0.0997,0.7788,0.0999,0.0498
9,0.999,0.9932,0.999,0.0496,0.0506,0.9989,0.9987,0.9989,0.9987,0.1708,0.1707,0.9987,0.9987,0.1708,0.1707,0.0514,0.0491,0.9999,0.8948,0.1123,0.8184,0.1124,0.0453
10,0.9996,0.9971,0.9995,0.0459,0.0489,0.9996,0.9996,0.9996,0.9996,0.1755,0.1683,0.9995,0.9995,0.1755,0.1683,0.0498,0.0473,1,0.9302,0.1127,0.8621,0.1129,0.0473
