"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0398,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0531,0.047,NA,NA,0.0308,0.0413,0.0488,0.0306,0.046,0.0047
2,0.0385,0.0408,0,0.0051,0.0445,0.0432,0.0445,0.0432,0.0538,0.0508,0.0497,0.0529,0.0538,0.0508,0.0674,0.0691,0.0299,0.0426,0.0479,0.047,0.048,0.0887
3,0.035,0.0396,0,0.0404,0.0382,0.0362,0.0382,0.0362,0.0503,0.0496,0.054,0.0496,0.0503,0.0496,0.129,0.1193,0.0313,0.0443,0.0451,0.0521,0.0454,0.1043
4,0.0324,0.0397,0.307,0.1734,0.0388,0.0396,0.0388,0.0396,0.049,0.0478,0.054,0.0547,0.049,0.0478,0.2031,0.1935,0.03,0.0425,0.0457,0.0658,0.0462,0.1414
5,0.0338,0.0419,0.1774,0.243,0.0345,0.0329,0.0345,0.0329,0.0473,0.0465,0.0494,0.0465,0.0473,0.0465,0.2561,0.2557,0.0325,0.0426,0.0445,0.0641,0.0448,0.1817
6,0.0313,0.0422,0.2213,0.3112,0.0326,0.0305,0.0326,0.0305,0.0489,0.0468,0.046,0.0433,0.0489,0.0468,0.3303,0.3212,0.0308,0.0458,0.0477,0.078,0.0479,0.2269
7,0.0335,0.0435,0.3028,0.3549,0.0367,0.0357,0.0367,0.0357,0.0492,0.0481,0.0508,0.0495,0.0492,0.0481,0.3891,0.3896,0.034,0.0454,0.046,0.0785,0.0467,0.2587
8,0.036,0.0491,0.3499,0.4102,0.0369,0.0353,0.0369,0.0353,0.0476,0.0451,0.0523,0.0519,0.0476,0.0451,0.4528,0.45,0.0338,0.0485,0.0476,0.0845,0.0482,0.3019
9,0.0345,0.0421,0.3888,0.4558,0.0355,0.0352,0.0355,0.0352,0.0502,0.0469,0.0506,0.0501,0.0502,0.0469,0.5098,0.5105,0.0314,0.0487,0.047,0.087,0.0477,0.3346
10,0.035,0.043,0.4318,0.5026,0.0379,0.0387,0.0379,0.0387,0.05,0.0502,0.0524,0.0528,0.05,0.0502,0.5628,0.5698,0.0339,0.0477,0.049,0.0959,0.0493,0.3639
