"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0589,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0819,0.0716,NA,NA,0.0851,0.0526,0.0741,0.0352,0.0708,0.0037
2,0.1174,0.0937,0,0.0027,0.0864,0.0794,0.0864,0.0794,0.1044,0.0992,0.0689,0.0658,0.1044,0.0992,NA,0.0493,0.1554,0.0553,0.0929,0.0476,0.0924,0.033
3,0.1658,0.1227,0,0.0176,0.1522,0.152,0.1522,0.152,0.1306,0.1209,0.13,0.1324,0.1306,0.1209,0.0543,0.0561,0.2342,0.0587,0.1128,0.0528,0.1125,0.0358
4,0.2103,0.1568,0.1197,0.0462,0.2067,0.2056,0.2067,0.2056,0.1531,0.1467,0.1944,0.1886,0.1531,0.1467,0.0562,0.0527,0.3113,0.0602,0.121,0.0542,0.1205,0.0359
5,0.2596,0.1895,0.0388,0.0469,0.2684,0.2541,0.2684,0.2541,0.1881,0.1855,0.2556,0.2428,0.1881,0.1855,0.0514,0.0488,0.3914,0.0587,0.1406,0.0552,0.1405,0.0396
6,0.3139,0.2428,0.0377,0.0475,0.3348,0.3318,0.3348,0.3318,0.215,0.2186,0.3296,0.3192,0.215,0.2186,0.052,0.0498,0.4676,0.0605,0.1626,0.0548,0.162,0.0395
7,0.3704,0.2764,0.0509,0.05,0.4026,0.3968,0.4026,0.3968,0.249,0.2564,0.3959,0.3884,0.249,0.2564,0.053,0.0527,0.5403,0.0705,0.1833,0.0633,0.1828,0.0377
8,0.4107,0.2854,0.0458,0.0503,0.4581,0.4484,0.4581,0.4484,0.2734,0.2638,0.453,0.4419,0.2734,0.2638,0.053,0.0508,0.5908,0.0666,0.1968,0.0615,0.1969,0.0395
9,0.4538,0.3456,0.0436,0.0454,0.5097,0.5029,0.5097,0.5029,0.3128,0.2979,0.5035,0.5017,0.3128,0.2979,0.0521,0.0522,0.6421,0.0638,0.2248,0.0578,0.225,0.0384
10,0.5011,0.3857,0.0459,0.0502,0.5593,0.5492,0.5593,0.5492,0.3463,0.3384,0.5553,0.545,0.3463,0.3384,0.0514,0.0481,0.6912,0.0713,0.2416,0.0651,0.2418,0.0376
