"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.1091,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0527,0.0414,NA,NA,0.4111,0.1899,0.0564,0.1482,0.054,0.0116
2,0.4134,0.3067,0,0.0002,0.3636,0.343,0.3636,0.343,0.0685,0.0618,NA,0.1523,0.0685,0.0618,NA,0.0462,0.7059,0.3239,0.0601,0.2442,0.0597,0.0551
3,0.6803,0.5171,0,0.0138,0.7035,0.6938,0.7035,0.6938,0.083,0.0764,0.6135,0.6088,0.083,0.0764,0.0513,0.0496,0.8848,0.4594,0.0676,0.3751,0.0682,0.0438
4,0.8428,0.6943,0.1097,0.0396,0.8605,0.8514,0.8605,0.8514,0.095,0.0954,0.8316,0.8179,0.095,0.0954,0.0501,0.046,0.9607,0.5763,0.0701,0.4802,0.0704,0.0391
5,0.9295,0.8258,0.0366,0.0484,0.9358,0.9316,0.9358,0.9316,0.1101,0.1062,0.9228,0.9221,0.1101,0.1062,0.0517,0.0543,0.987,0.6705,0.0801,0.5638,0.0802,0.0469
6,0.9734,0.9141,0.0384,0.0449,0.9768,0.9762,0.9768,0.9762,0.1239,0.1173,0.9728,0.9698,0.1239,0.1173,0.048,0.0456,0.9973,0.7542,0.0852,0.6571,0.0851,0.0424
7,0.9887,0.9535,0.0478,0.0516,0.9904,0.99,0.9904,0.99,0.1401,0.1379,0.9892,0.989,0.1401,0.1379,0.0497,0.0449,0.9983,0.8122,0.0954,0.7123,0.0953,0.0459
8,0.9951,0.9803,0.0499,0.0495,0.9962,0.9962,0.9962,0.9962,0.1564,0.1544,0.9958,0.9957,0.1564,0.1544,0.0495,0.0508,0.9997,0.8532,0.1047,0.7692,0.1048,0.0479
9,0.9984,0.9906,0.0386,0.046,0.9988,0.9988,0.9988,0.9988,0.1688,0.1649,0.9984,0.9984,0.1688,0.1649,0.0468,0.0429,0.9998,0.9007,0.1072,0.8301,0.1073,0.0466
10,0.9996,0.9963,0.0462,0.0493,0.9995,0.9995,0.9995,0.9995,0.1797,0.1768,0.9995,0.9995,0.1797,0.1768,0.0509,0.0485,0.9999,0.9271,0.112,0.8628,0.1121,0.0484
