"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0246,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0503,0.0434,NA,NA,0.0422,0.0415,0.0383,0.0556,0.036,0.0153
2,0.0292,0.0271,0,0.0041,0.0359,0.0337,0.0359,0.0337,0.0522,0.0469,NA,0.064,0.0522,0.0469,0.1058,0.1133,0.0644,0.067,0.0392,0.1735,0.0406,0.213
3,0.0318,0.0471,0,0.0843,0.0405,0.0428,0.0405,0.0428,0.0581,0.0506,0.1151,0.1199,0.0581,0.0506,0.3456,0.334,0.0946,0.0943,0.0434,0.2577,0.0444,0.294
4,0.0297,0.0509,0.5764,0.4133,0.0409,0.0366,0.0409,0.0366,0.0573,0.0516,0.1595,0.1531,0.0573,0.0516,0.5595,0.5526,0.1283,0.1102,0.0404,0.3284,0.042,0.3897
5,0.0416,0.069,0.4497,0.5817,0.0538,0.0524,0.0538,0.0524,0.0581,0.0539,0.1987,0.1948,0.0581,0.0539,0.7042,0.692,0.167,0.1344,0.0456,0.4013,0.0465,0.4775
6,0.0486,0.0693,0.534,0.6995,0.0664,0.0654,0.0664,0.0654,0.0649,0.0663,0.2544,0.2417,0.0649,0.0663,0.8054,0.7953,0.2174,0.1602,0.0459,0.4816,0.0467,0.567
7,0.051,0.0789,0.6902,0.7831,0.0772,0.0765,0.0772,0.0765,0.0628,0.0587,0.285,0.2944,0.0628,0.0587,0.8802,0.8802,0.2458,0.1774,0.0451,0.5333,0.0464,0.6471
8,0.0584,0.1067,0.7585,0.8487,0.0854,0.0775,0.0854,0.0775,0.0695,0.0649,0.3324,0.3202,0.0695,0.0649,0.9218,0.9215,0.2905,0.2067,0.0468,0.5866,0.0482,0.7072
9,0.0672,0.1143,0.816,0.8895,0.0987,0.0976,0.0987,0.0976,0.0639,0.057,0.3655,0.3601,0.0639,0.057,0.9517,0.9517,0.3308,0.2259,0.0486,0.648,0.049,0.7593
10,0.0707,0.1322,0.8703,0.9334,0.1153,0.1107,0.1153,0.1107,0.0676,0.0609,0.4125,0.4014,0.0676,0.0609,0.9716,0.9709,0.3744,0.2486,0.0499,0.6989,0.0509,0.8044
