"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0774,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0484,NA,NA,0.2088,0.0822,0.0574,0.0761,0.0546,0.0064
2,0.2231,0.1716,0,0.0006,0.1412,0.1389,0.1412,0.1389,0.0866,0.0852,0.1046,0.0954,0.0866,0.0852,0.0643,0.0593,0.4181,0.1217,0.0705,0.152,0.0703,0.0777
3,0.3428,0.2734,0,0.0232,0.3051,0.2921,0.3051,0.2921,0.1076,0.0989,0.3425,0.3326,0.1076,0.0989,0.1179,0.1238,0.6095,0.1619,0.0866,0.2096,0.0869,0.0973
4,0.4804,0.367,0.166,0.0665,0.4815,0.4716,0.4815,0.4716,0.1254,0.119,0.5562,0.5465,0.1254,0.119,0.1596,0.1573,0.7628,0.2147,0.0946,0.2845,0.0952,0.1158
5,0.5918,0.4781,0.0735,0.079,0.6257,0.6187,0.6257,0.6187,0.1474,0.1497,0.7049,0.7028,0.1474,0.1497,0.2,0.1911,0.862,0.2483,0.1123,0.3321,0.1127,0.1355
6,0.7007,0.5669,0.0795,0.0968,0.7465,0.7463,0.7465,0.7463,0.1733,0.1711,0.8082,0.8068,0.1733,0.1711,0.2442,0.2342,0.921,0.2949,0.1299,0.4013,0.1314,0.1548
7,0.777,0.6565,0.1165,0.1172,0.828,0.814,0.828,0.814,0.1918,0.1889,0.8802,0.8701,0.1918,0.1889,0.2961,0.296,0.9529,0.322,0.1304,0.4486,0.131,0.1836
8,0.8395,0.7185,0.1192,0.1252,0.8901,0.8914,0.8901,0.8914,0.2225,0.2262,0.9225,0.9241,0.2225,0.2262,0.3245,0.324,0.9762,0.3718,0.1461,0.4989,0.1467,0.1951
9,0.8839,0.7924,0.1339,0.1373,0.928,0.9274,0.928,0.9274,0.239,0.2394,0.952,0.9518,0.239,0.2394,0.3727,0.3675,0.9856,0.4103,0.1628,0.5538,0.1634,0.2222
10,0.9202,0.839,0.1359,0.1533,0.958,0.9536,0.958,0.9536,0.2664,0.2629,0.9727,0.9695,0.2664,0.2629,0.3998,0.3955,0.9928,0.4483,0.1742,0.5989,0.1746,0.2381
